pattern,priority,risk_level,expected_coverage,description
3327??????77,HIGH,LOW,45,Префикс 3327 + 6 любых цифр + суффикс 77
3344??????87,HIGH,LOW,40,Префикс 3344 + 6 любых цифр + суффикс 87
3324??????89,HIGH,LOW,39,Префикс 3324 + 6 любых цифр + суффикс 89
4927??????16,HIGH,LOW,39,Префикс 4927 + 6 любых цифр + суффикс 16
4928??????33,HIGH,LOW,38,Префикс 4928 + 6 любых цифр + суффикс 33
3325??????79,HIGH,LOW,37,Префикс 3325 + 6 любых цифр + суффикс 79
3343??????97,HIGH,LOW,37,Префикс 3343 + 6 любых цифр + суффикс 97
3345??????68,HIGH,LOW,37,Префикс 3345 + 6 любых цифр + суффикс 68
4938??????14,HIGH,LOW,37,Префикс 4938 + 6 любых цифр + суффикс 14
3360??????98,HIGH,LOW,36,Префикс 3360 + 6 любых цифр + суффикс 98
3371??????78,HIGH,LOW,36,Префикс 3371 + 6 любых цифр + суффикс 78
4442??????96,HIGH,LOW,36,Префикс 4442 + 6 любых цифр + суффикс 96
3334??????88,HIGH,LOW,35,Префикс 3334 + 6 любых цифр + суффикс 88
3326??????69,HIGH,LOW,34,Префикс 3326 + 6 любых цифр + суффикс 69
3362??????69,HIGH,LOW,34,Префикс 3362 + 6 любых цифр + суффикс 69
3363??????86,HIGH,LOW,34,Префикс 3363 + 6 любых цифр + суффикс 86
3333??????98,HIGH,LOW,33,Префикс 3333 + 6 любых цифр + суффикс 98
4433??????87,HIGH,LOW,33,Префикс 4433 + 6 любых цифр + суффикс 87
4440??????98,HIGH,LOW,33,Префикс 4440 + 6 любых цифр + суффикс 98
4967??????12,HIGH,LOW,33,Префикс 4967 + 6 любых цифр + суффикс 12
3351??????89,HIGH,LOW,32,Префикс 3351 + 6 любых цифр + суффикс 89
3378??????08,HIGH,LOW,32,Префикс 3378 + 6 любых цифр + суффикс 08
4432??????79,HIGH,LOW,32,Префикс 4432 + 6 любых цифр + суффикс 79
4460??????96,HIGH,LOW,32,Префикс 4460 + 6 любых цифр + суффикс 96
4936??????16,HIGH,LOW,31,Префикс 4936 + 6 любых цифр + суффикс 16
4937??????13,HIGH,LOW,31,Префикс 4937 + 6 любых цифр + суффикс 13
4946??????06,HIGH,LOW,31,Префикс 4946 + 6 любых цифр + суффикс 06
4958??????03,HIGH,LOW,31,Префикс 4958 + 6 любых цифр + суффикс 03
4422??????98,HIGH,LOW,30,Префикс 4422 + 6 любых цифр + суффикс 98
4451??????78,HIGH,LOW,30,Префикс 4451 + 6 любых цифр + суффикс 78
4467??????08,HIGH,LOW,30,Префикс 4467 + 6 любых цифр + суффикс 08
4977??????11,HIGH,LOW,30,Префикс 4977 + 6 любых цифр + суффикс 11
4978??????01,HIGH,LOW,30,Префикс 4978 + 6 любых цифр + суффикс 01
3335??????96,HIGH,LOW,29,Префикс 3335 + 6 любых цифр + суффикс 96
4423??????88,HIGH,LOW,29,Префикс 4423 + 6 любых цифр + суффикс 88
4425??????77,HIGH,LOW,29,Префикс 4425 + 6 любых цифр + суффикс 77
4461??????68,HIGH,LOW,29,Префикс 4461 + 6 любых цифр + суффикс 68
4948??????04,HIGH,LOW,29,Префикс 4948 + 6 любых цифр + суффикс 04
3342??????89,HIGH,LOW,28,Префикс 3342 + 6 любых цифр + суффикс 89
3353??????87,HIGH,LOW,28,Префикс 3353 + 6 любых цифр + суффикс 87
3372??????86,HIGH,LOW,28,Префикс 3372 + 6 любых цифр + суффикс 86
4963??????07,HIGH,LOW,28,Префикс 4963 + 6 любых цифр + суффикс 07
4450??????88,HIGH,LOW,27,Префикс 4450 + 6 любых цифр + суффикс 88
4458??????35,HIGH,LOW,27,Префикс 4458 + 6 любых цифр + суффикс 35
4954??????25,HIGH,LOW,27,Префикс 4954 + 6 любых цифр + суффикс 25
4966??????13,HIGH,LOW,27,Префикс 4966 + 6 любых цифр + суффикс 13
4975??????04,HIGH,LOW,27,Префикс 4975 + 6 любых цифр + суффикс 04
3370??????97,HIGH,LOW,26,Префикс 3370 + 6 любых цифр + суффикс 97
4441??????88,HIGH,LOW,26,Префикс 4441 + 6 любых цифр + суффикс 88
4957??????05,HIGH,LOW,26,Префикс 4957 + 6 любых цифр + суффикс 05
3336??????77,HIGH,LOW,25,Префикс 3336 + 6 любых цифр + суффикс 77
4434??????59,HIGH,LOW,25,Префикс 4434 + 6 любых цифр + суффикс 59
4955??????24,HIGH,LOW,25,Префикс 4955 + 6 любых цифр + суффикс 24
4974??????05,HIGH,LOW,25,Префикс 4974 + 6 любых цифр + суффикс 05
3361??????79,HIGH,LOW,24,Префикс 3361 + 6 любых цифр + суффикс 79
4476??????44,HIGH,LOW,24,Префикс 4476 + 6 любых цифр + суффикс 44
4956??????01,HIGH,LOW,24,Префикс 4956 + 6 любых цифр + суффикс 01
4965??????23,HIGH,LOW,24,Префикс 4965 + 6 любых цифр + суффикс 23
3352??????88,HIGH,LOW,23,Префикс 3352 + 6 любых цифр + суффикс 88
4452??????68,HIGH,LOW,23,Префикс 4452 + 6 любых цифр + суффикс 68
4971??????35,HIGH,LOW,23,Префикс 4971 + 6 любых цифр + суффикс 35
4973??????06,HIGH,LOW,23,Префикс 4973 + 6 любых цифр + суффикс 06
4443??????77,HIGH,LOW,22,Префикс 4443 + 6 любых цифр + суффикс 77
4968??????02,HIGH,LOW,22,Префикс 4968 + 6 любых цифр + суффикс 02
4431??????89,HIGH,LOW,21,Префикс 4431 + 6 любых цифр + суффикс 89
